"tutor_user_idx","student_user_idx","course_id","course_class_id","course_class_seq_id","quiz_submit_ratio","quiz_solving_cnt","quiz_solving_time","registered_by_user_idx","registered_date","last_modified_by_user_idx","last_modified_date"
"3","76","152","294","850",\0,\0,\0,"3","2022-08-24 08:55:32","3","2022-08-24 08:55:32"
"3","77","152","294","850",\0,\0,\0,"3","2022-08-24 08:55:32","3","2022-08-24 08:55:32"
"3","78","152","294","850",\0,\0,\0,"3","2022-08-24 08:55:32","3","2022-08-24 08:55:32"
"3","79","152","294","850",\0,\0,\0,"3","2022-08-24 08:55:32","3","2022-08-24 08:55:32"
"181","215","155","263","778",\0,\0,\0,"181","2022-08-14 08:59:32","181","2022-08-14 08:59:32"
"181","215","155","263","779",\0,\0,\0,"181","2022-08-14 08:59:49","172","2022-08-14 09:01:12"
"181","215","155","263","780",\0,\0,\0,"181","2022-08-14 08:59:58","181","2022-08-14 08:59:58"
"181","215","155","263","781",\0,\0,\0,"181","2022-08-14 09:00:08","181","2022-08-14 09:00:08"
"181","215","155","263","782",\0,\0,\0,"181","2022-08-14 09:00:22","181","2022-08-14 09:00:22"
"181","215","155","263","783",\0,\0,\0,"181","2022-08-14 09:00:33","181","2022-08-14 09:00:33"
"181","215","155","263","784",\0,\0,\0,"181","2022-08-14 09:00:43","181","2022-08-14 09:00:43"
"181","215","155","263","785",\0,\0,\0,"181","2022-08-14 09:00:55","181","2022-08-14 09:00:55"
"181","218","155","263","778",\0,\0,\0,"181","2022-08-14 08:59:32","181","2022-08-14 08:59:32"
"181","218","155","263","779",\0,\0,\0,"181","2022-08-14 08:59:49","172","2022-08-14 09:01:12"
"181","218","155","263","780",\0,\0,\0,"181","2022-08-14 08:59:58","181","2022-08-14 08:59:58"
"181","218","155","263","781",\0,\0,\0,"181","2022-08-14 09:00:08","181","2022-08-14 09:00:08"
"181","218","155","263","782",\0,\0,\0,"181","2022-08-14 09:00:22","181","2022-08-14 09:00:22"
"181","218","155","263","783",\0,\0,\0,"181","2022-08-14 09:00:33","181","2022-08-14 09:00:33"
"181","218","155","263","784",\0,\0,\0,"181","2022-08-14 09:00:43","181","2022-08-14 09:00:43"
"181","218","155","263","785",\0,\0,\0,"181","2022-08-14 09:00:55","181","2022-08-14 09:00:55"
"181","222","155","263","778",\0,\0,\0,"181","2022-08-14 08:59:32","181","2022-08-14 08:59:32"
"181","222","155","263","779",\0,\0,\0,"181","2022-08-14 08:59:49","172","2022-08-14 09:01:12"
"181","222","155","263","780",\0,\0,\0,"181","2022-08-14 08:59:58","181","2022-08-14 08:59:58"
"181","222","155","263","781",\0,\0,\0,"181","2022-08-14 09:00:08","181","2022-08-14 09:00:08"
"181","222","155","263","782",\0,\0,\0,"181","2022-08-14 09:00:22","181","2022-08-14 09:00:22"
"181","222","155","263","783",\0,\0,\0,"181","2022-08-14 09:00:33","181","2022-08-14 09:00:33"
"181","222","155","263","784",\0,\0,\0,"181","2022-08-14 09:00:43","181","2022-08-14 09:00:43"
"181","222","155","263","785",\0,\0,\0,"181","2022-08-14 09:00:55","181","2022-08-14 09:00:55"
"181","223","155","263","778",\0,\0,\0,"181","2022-08-14 08:59:32","181","2022-08-14 08:59:32"
"181","223","155","263","779",\0,\0,\0,"181","2022-08-14 08:59:49","172","2022-08-14 09:01:12"
"181","223","155","263","780",\0,\0,\0,"181","2022-08-14 08:59:58","181","2022-08-14 08:59:58"
"181","223","155","263","781",\0,\0,\0,"181","2022-08-14 09:00:08","181","2022-08-14 09:00:08"
"181","223","155","263","782",\0,\0,\0,"181","2022-08-14 09:00:22","181","2022-08-14 09:00:22"
"181","223","155","263","783",\0,\0,\0,"181","2022-08-14 09:00:33","181","2022-08-14 09:00:33"
"181","223","155","263","784",\0,\0,\0,"181","2022-08-14 09:00:43","181","2022-08-14 09:00:43"
