student_user_idx,course_id,key,course_learning_content_id,lesson_id,lesson_item_id,lesson_subitem_id,body,attend_absente_late,is_available,total_learning_time_in_seconds,registered_by_user_idx,registered_date,last_modified_by_user_idx,last_modified_date
61,124,2,649,\0,\0,\0,\0,5,1,0,1,2022-08-02 13:06,1,2022-08-05 16:18
99,124,2,649,\0,\0,\0,\0,5,1,0,1,2022-08-02 13:06,1,2022-08-05 16:18
132,124,2,649,\0,\0,\0,\0,5,1,0,1,2022-08-02 13:06,1,2022-08-05 16:18
145,124,2,649,\0,\0,\0,\0,5,1,5,1,2022-08-02 13:06,1,2022-08-05 16:18
170,124,2,649,\0,\0,\0,\0,5,1,0,1,2022-08-02 13:06,1,2022-08-05 16:18
24,124,3,650,156,188,200,"[{""size"":51725,""mime_type"":""application\/vnd.openxmlformats-officedocument.presentationml.presentation"",""name"":""???????.pptx"",""url"":""kttutoring\/content\/2022\/8\/50c5e387-53b3-4c3f-b8e3-4caf0ef36945.pptx"",""type_code"":6}]",5,1,0,1,2022-08-02 13:07,1,2022-08-05 16:18
25,124,3,650,156,188,200,"[{""size"":51725,""mime_type"":""application\/vnd.openxmlformats-officedocument.presentationml.presentation"",""name"":""???????.pptx"",""url"":""kttutoring\/content\/2022\/8\/50c5e387-53b3-4c3f-b8e3-4caf0ef36945.pptx"",""type_code"":6}]",5,1,5,1,2022-08-02 13:07,1,2022-08-05 16:18
61,124,3,650,156,188,200,"[{""size"":51725,""mime_type"":""application\/vnd.openxmlformats-officedocument.presentationml.presentation"",""name"":""???????.pptx"",""url"":""kttutoring\/content\/2022\/8\/50c5e387-53b3-4c3f-b8e3-4caf0ef36945.pptx"",""type_code"":6}]",5,1,0,1,2022-08-02 13:07,1,2022-08-05 16:18
99,124,3,650,156,188,200,"[{""size"":51725,""mime_type"":""application\/vnd.openxmlformats-officedocument.presentationml.presentation"",""name"":""???????.pptx"",""url"":""kttutoring\/content\/2022\/8\/50c5e387-53b3-4c3f-b8e3-4caf0ef36945.pptx"",""type_code"":6}]",5,1,0,1,2022-08-02 13:07,1,2022-08-05 16:18
132,124,3,650,156,188,200,"[{""size"":51725,""mime_type"":""application\/vnd.openxmlformats-officedocument.presentationml.presentation"",""name"":""???????.pptx"",""url"":""kttutoring\/content\/2022\/8\/50c5e387-53b3-4c3f-b8e3-4caf0ef36945.pptx"",""type_code"":6}]",5,1,0,1,2022-08-02 13:07,1,2022-08-05 16:18
