tutor_user_idx,course_id,course_class_id,course_class_seq_id,plan_id,start_date,end_date,registered_by_user_idx,registered_date,last_modified_by_user_idx,last_modified_date
277,182,338,1115,202708,2022-09-07 11:30,2022-09-07 12:00,277,2022-09-07 11:14,277,2022-09-07 11:14
277,182,338,1116,202709,2022-09-07 12:00,2022-09-07 12:30,277,2022-09-07 11:14,277,2022-09-07 11:14
277,182,338,1117,202710,2022-09-07 13:00,2022-09-07 13:30,277,2022-09-07 11:14,277,2022-09-07 11:14
277,182,338,1126,202750,2022-09-08 9:30,2022-09-08 18:00,277,2022-09-08 9:36,277,2022-09-08 9:36
277,182,338,1127,202756,2022-09-13 10:00,2022-09-13 18:30,277,2022-09-13 10:39,277,2022-09-13 10:39
277,182,338,1131,202808,2022-09-14 9:00,2022-09-14 18:30,277,2022-09-14 9:45,277,2022-09-14 9:45
277,182,338,1143,202829,2022-09-15 1:00,2022-09-16 0:50,277,2022-09-15 10:45,277,2022-09-15 10:45
232,183,341,1139,202817,2022-09-14 17:00,2022-09-14 17:30,232,2022-09-14 16:27,232,2022-09-14 16:27
232,183,341,1140,202818,2022-09-14 17:30,2022-09-14 18:00,232,2022-09-14 16:27,232,2022-09-14 16:27
232,183,341,1141,202819,2022-09-14 18:00,2022-09-14 18:30,232,2022-09-14 16:28,232,2022-09-14 16:28
232,183,341,1142,202820,2022-09-14 18:30,2022-09-14 19:00,232,2022-09-14 16:28,232,2022-09-14 16:28
244,185,344,1159,202883,2022-09-19 10:00,2022-09-19 18:00,244,2022-09-19 15:44,244,2022-09-19 15:44
243,186,345,1161,202884,2022-09-19 10:00,2022-09-19 18:00,243,2022-09-19 15:48,243,2022-09-19 15:48
