major,subject_category,subject_details
고고학과,일반선택과목,"사회교과 : 사회문화, 세계사, 동아시아사, 한국지리, 윤리와 사상, 한문ㆍ외국어교과 : 한문Ⅰ, 한문Ⅱ, 영어Ⅰ, 영어Ⅱ, 중국어Ⅰ, 일본어Ⅰ, 수학교과 : 수학Ⅰ, 수학Ⅱ, 확률과 통계"
고고학과,진로선택과목,"사회문제 탐구, 고전 읽기, 고전과 윤리, 여행지리, 현대 세계의 변화"
고고학과,전문교과Ⅰ,"사회탐구 방법, 사회과제 연구, 한국 사회의 이해, 비교 문화, 지역 이해"
고고학과,전문교과Ⅱ,문화콘텐츠 산업 일반
금속공학과,공통과목,"수학, 과학, 기술ㆍ가정"
금속공학과,일반선택과목,"수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계, 과학교과 : 물리학Ⅰ, 화학Ⅰ, 기술ㆍ가정교과 : 기술ㆍ가정, 정보"
금속공학과,진로선택과목,"기하, 물리학Ⅱ, 화학Ⅱ, 공학 일반"
금속공학과,전문교과Ⅰ,"심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보 과학, 융합과학탐구, 과학과제연구"
금속공학과,전문교과Ⅱ,"공업 일반, 기계 제도, 기계 일반, 기계 제어 설계"
기계공학과,공통과목,"수학, 과학, 기술ㆍ가정"
기계공학과,일반선택과목,"수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계, 과학교과 : 물리학Ⅰ, 화학Ⅰ, 기술ㆍ가정교과 : 기술ㆍ가정, 정보"
기계공학과,진로선택과목,"기하, 물리학Ⅱ, 화학Ⅱ, 공학 일반"
기계공학과,전문교과Ⅰ,"심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보 과학, 융합과학탐구, 과학과제연구"
기계공학과,전문교과Ⅱ,"공업 일반, 기계 제도, 기계 일반, 기계 제어 설계"
도시계획학과,공통과목,"사회, 생활ㆍ교양"
도시계획학과,일반선택과목,"사회교과 : 한국지리, 세계지리, 경제, 생활과 윤리, 생활ㆍ교양교과 : 심리학, 환경"
도시계획학과,진로선택과목,"실용 수학, 경제 수학, 여행지리, 사회문제 탐구"
도시계획학과,전문교과Ⅰ,"지역 이해, 세계 문제와 미래 사회, 현대 세계의 변화, 사회 탐구 방법 및 사회과제 연구"
도시계획학과,전문교과Ⅱ,"공간정보융합서비스, 빅데이터 분석, 인간과 환경, 환경 보전"
도시공학과,공통과목,"수학, 사회, 과학, 기술ㆍ가정"
